"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.806875470E-1,5.013676286E-1,5.621487498E-1,6.110179424E-1
1.827896590E-1,5.038111210E-1,5.549710989E-1,6.061310172E-1
1.848905610E-1,5.061018467E-1,5.439754725E-1,6.012440920E-1
1.869854500E-1,5.108360648E-1,5.258022547E-1,5.900958180E-1
1.890769830E-1,5.241223574E-1,5.027421117E-1,5.787948370E-1
1.911893480E-1,5.386304259E-1,4.773911834E-1,5.639813542E-1
1.932896080E-1,5.590944290E-1,4.506658316E-1,5.477933884E-1
1.953910490E-1,5.820018649E-1,4.240931869E-1,5.279402733E-1
1.974836090E-1,6.085745096E-1,4.010330439E-1,5.007568002E-1
1.995991990E-1,6.374378800E-1,3.756821156E-1,4.685336351E-1
2.016915150E-1,6.724098921E-1,3.503312171E-1,4.338670373E-1
2.037922330E-1,7.084509730E-1,3.213151097E-1,3.943135142E-1
2.058914060E-1,7.481572032E-1,2.898555696E-1,3.547599912E-1
2.079937620E-1,7.916813493E-1,2.583959997E-1,3.139847219E-1
2.100928920E-1,8.374962807E-1,2.234239578E-1,2.718350291E-1
2.121848630E-1,8.807149529E-1,1.809688359E-1,2.272418737E-1
2.142967810E-1,9.253081083E-1,1.398881376E-1,1.850921661E-1
2.163956280E-1,9.699012637E-1,9.758572280E-2,1.430951804E-1
2.184989910E-1,1.014647126E0,5.757404864E-2,1.033889428E-1
2.205924860E-1,1.056796908E0,2.122756653E-2,6.612616032E-2
2.226807840E-1,1.096503139E0,-1.496619824E-2,2.901609987E-2
2.247965980E-1,1.132696867E0,-4.886921868E-2,-5.650503561E-3
2.268970110E-1,1.164003730E0,-8.399397135E-2,-3.665191308E-2
2.290023580E-1,1.190576315E0,-1.178969890E-1,-6.383541971E-2
2.311011530E-1,1.215927243E0,-1.469130963E-1,-8.628471941E-2
2.332010980E-1,1.235169530E0,-1.675297916E-1,-1.036943719E-1
2.353014100E-1,1.254411817E0,-1.881465018E-1,-1.185078546E-1
2.374011420E-1,1.265254617E0,-2.050980031E-1,-1.308778822E-1
2.395020930E-1,1.278540969E0,-2.171625942E-1,-1.432479024E-1
2.416041040E-1,1.283275127E0,-2.316706479E-1,-1.495092660E-1
2.437094610E-1,1.286940336E0,-2.438879460E-1,-1.557706445E-1
2.458041060E-1,1.288162112E0,-2.547308207E-1,-1.569923609E-1
2.479050690E-1,1.283275127E0,-2.620611787E-1,-1.557706445E-1
2.500031920E-1,1.282053471E0,-2.657263875E-1,-1.569923609E-1
2.521053140E-1,1.277166486E0,-2.693915665E-1,-1.533271819E-1
2.542030310E-1,1.269988894E0,-2.716823220E-1,-1.495092660E-1
2.562963750E-1,1.266323686E0,-2.706133127E-1,-1.446223408E-1
2.584072560E-1,1.262811184E0,-2.681698501E-1,-1.372919679E-1
2.605073220E-1,1.257924199E0,-2.645046413E-1,-1.324050426E-1
2.626105640E-1,1.254411817E0,-2.573269904E-1,-1.261436790E-1
2.647087290E-1,1.249524832E0,-2.475531399E-1,-1.212567538E-1
2.668084810E-1,1.244790673E0,-2.354885489E-1,-1.162171140E-1
2.689105930E-1,1.239903688E0,-2.185370475E-1,-1.111774743E-1
2.710110260E-1,1.232726097E0,-2.026545405E-1,-1.085812971E-1
2.731108690E-1,1.222952247E0,-1.832595766E-1,-1.084285825E-1
2.752085570E-1,1.214400053E0,-1.650863290E-1,-1.082758680E-1
2.773017780E-1,1.202335477E0,-1.456913650E-1,-1.105666086E-1
2.794128190E-1,1.188896537E0,-1.261436790E-1,-1.153008118E-1
2.815138940E-1,1.176679134E0,-1.055269688E-1,-1.211040318E-1
2.836156500E-1,1.159574986E0,-8.246681094E-2,-1.319468915E-1
2.857127470E-1,1.142470717E0,-6.047565863E-2,-1.438587606E-1
2.878131910E-1,1.127810001E0,-3.619376570E-2,-1.620320082E-1
2.899155460E-1,1.114218235E0,-1.420261711E-2,-1.849394590E-1
2.920158580E-1,1.096961260E0,4.123340361E-3,-2.128865421E-1
2.941165460E-1,1.080926061E0,2.367102914E-2,-2.457205504E-1
2.962171220E-1,1.068556070E0,4.077525437E-2,-2.832887471E-1
2.983157860E-1,1.054811597E0,5.787948146E-2,-3.246748745E-1
3.004076630E-1,1.042288780E0,7.513642311E-2,-3.697261810E-1
3.025185130E-1,1.033431292E0,9.224065393E-2,-4.159992337E-1
3.046193330E-1,1.025795460E0,1.082758680E-1,-4.610505402E-1
3.067226670E-1,1.016937971E0,1.253800988E-1,-5.061018467E-1
3.088177190E-1,1.010523796E0,1.365283877E-1,-5.464189649E-1
3.109111830E-1,1.001666307E0,1.499674171E-1,-5.816964507E-1
3.130217180E-1,9.954048991E-1,1.586722434E-1,-6.133087277E-1
3.151226910E-1,9.867000580E-1,1.708895564E-1,-6.389650702E-1
3.172246100E-1,9.718865752E-1,1.794416606E-1,-6.595817208E-1
3.193254790E-1,9.584475756E-1,1.867720485E-1,-6.765332818E-1
3.214345590E-1,9.460775256E-1,1.977676302E-1,-6.910412908E-1
3.235244650E-1,9.289733171E-1,2.124283910E-1,-7.041749358E-1
3.256245020E-1,9.106473923E-1,2.269364446E-1,-7.125743032E-1
3.277223720E-1,8.888089061E-1,2.464841306E-1,-7.159340382E-1
3.298257130E-1,8.669704795E-1,2.658790946E-1,-7.217372656E-1
3.319247020E-1,8.462010622E-1,2.878702581E-1,-7.250970602E-1
3.340165410E-1,8.219192028E-1,3.109304011E-1,-7.272350788E-1
3.361275140E-1,7.964155674E-1,3.339905739E-1,-7.220427394E-1
3.382285470E-1,7.722864151E-1,3.533855379E-1,-7.168503404E-1
3.403308620E-1,7.516697049E-1,3.740022480E-1,-7.079927921E-1
3.424275100E-1,7.310529947E-1,3.921754956E-1,-6.956228018E-1
3.445239060E-1,7.118107080E-1,4.103487432E-1,-6.794348955E-1
3.466304630E-1,6.950119138E-1,4.295909703E-1,-6.572909951E-1
3.487314970E-1,6.818783283E-1,4.502076805E-1,-6.301075220E-1
3.508324480E-1,6.748533845E-1,4.670064747E-1,-6.006332636E-1
3.529317130E-1,6.702718735E-1,4.815145433E-1,-5.700899959E-1
3.550308130E-1,6.679811478E-1,4.935791194E-1,-5.369505286E-1
3.571312670E-1,6.707300544E-1,5.030475259E-1,-5.027421117E-1
3.592319550E-1,6.783658266E-1,5.006040931E-1,-4.673119187E-1
3.613340770E-1,6.847799420E-1,4.857905805E-1,-4.295909703E-1
3.634370840E-1,6.936374903E-1,4.674646258E-1,-3.894265890E-1
3.655425230E-1,7.072292566E-1,4.393648207E-1,-3.518583775E-1
3.676229270E-1,7.220427394E-1,4.053090811E-1,-3.178026378E-1
3.697262990E-1,7.405213714E-1,3.688098788E-1,-2.826778889E-1
3.718342910E-1,7.602217793E-1,3.309362531E-1,-2.487748712E-1
3.739397290E-1,7.823656797E-1,2.956587672E-1,-2.174680233E-1
3.760376500E-1,8.081747293E-1,2.567161322E-1,-1.860084683E-1
3.781280740E-1,8.326093554E-1,2.189951837E-1,-1.595885456E-1
3.802390250E-1,8.620835543E-1,1.763873398E-1,-1.317941695E-1
3.823403430E-1,8.901833892E-1,1.398881376E-1,-1.090394482E-1
3.844425470E-1,9.182831645E-1,1.044579595E-1,-8.872817457E-2
3.865408340E-1,9.451612234E-1,7.528914511E-2,-6.826419383E-2
3.886408200E-1,9.695958495E-1,5.100724846E-2,-5.268712714E-2
3.907417820E-1,9.963212013E-1,2.901609987E-2,-3.955352306E-2
3.928420730E-1,1.019534111E0,9.621127509E-3,-3.130684420E-2
3.949430760E-1,1.037707329E0,-6.261368748E-3,-2.657263726E-2
3.970434090E-1,1.053589821E0,-2.321287990E-2,-2.687807009E-2
